Test Case Identifier,Step No,Step Data,Data,Expected Result,Priority,Test Summary,Description,TestPlan,Issue Link,TestSet,TestPlan,Sprint,Story,Assignee,Componente,Label,Label,Label,Label
MMCS - 35463 - 01,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Politicas vigentes
Kraken
SUMD MDO Sams
Configuracion de Perfil
Registrar Anuncio",P1,TC-12-35463-01 - Sugerencia de Matches - Buscar por Descripción/UPC,,TODO,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,2,Seleccionar la opcion Kraken,,"Se visualiza correctamente el menu de Digitalizacion mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,3,Seleccionar la pestana de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- opcion Formato de tienda
- opcion Banner
- opcion Competidor
- opcion Tribu
- opcion Super Squad
- opcion Squad
- opcion Departamento
- opcion Categoria
- boton Buscar (Deshabilitado inicialmente hasta que se realice como minimo la seleccion de Competidor)
- boton Limpiar Filtros",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la seleccion de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,6,Seleccionar Competidor,,"Al haber seleccionado la opcion Walmart se mostraran los competidores relacionados
Se permite la seleccion de competidor correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,7,Dar clic al boton Aplicar,,"El sistema realiza la seleccion correctamente y se habilita el boton Buscar
Tambien se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,8,Dar clic al boton Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con exito"" seleccionando por defecto la pestana Sugerencia de Automatches mostrando la siguente Informacion:

- Descripcion: ""Aprueba la activacion de los matches correctos y elimina los incorrectos."" 
- boton Descargar Resultados
- boton Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opcion Top Venta
- Campo de Texto Buscar por Descripcion o UPC
- Informacion de articulos con los siguientes campos:
   a) Descripcion Walmart
   b) UPC Walmart
   c) Articulos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripcion Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginacion",P1,,,,,MMCS-36883,MMCS-36880,bugs_mejoras_kraken,MMCS-35463,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 01,9,Dar clic al Campo Buscar por Descripción o UPC,,El sistema habilita correctamente el campo para su edición,P1,,,,,,,,,,,,,,
MMCS - 35463 - 01,10,Ingresar Descrpción o UPC,,El sistema realiza correctamente la búsqueda con base a los criterios ingresados y va filtrando los resultado correctamente,P1,,,,,,,,,,,,,,
